"","X","Lokal","F.e5.ngst.e5.r","F.f6.delse.e5.r","ID","X.c5.lder","Redskap","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1",353,"BT",1980,1972,198014,8,9,56,85,112,161,174,195,212,241,NA
"2",354,"BT",1980,1972,198046,8,9,71,109,150,196,229,253,268,304,NA
"3",355,"BT",1980,1973,19804,7,9,77,101,149,172,190,210,228,NA,NA
"4",356,"BT",1980,1973,198013,7,9,68,114,152,183,220,249,290,NA,NA
"5",357,"BT",1980,1973,198015,7,9,58,111,166,200,219,246,281,NA,NA
"6",358,"BT",1980,1973,198044,7,9,69,111,170,194,226,266,310,NA,NA
"7",359,"BT",1980,1973,198045,7,9,80,120,158,180,216,239,260,NA,NA
"8",360,"BT",1980,1974,19802,6,9,57,96,136,159,190,223,NA,NA,NA
"9",361,"BT",1980,1974,198011,6,9,63,101,144,173,201,231,NA,NA,NA
"10",362,"BT",1980,1974,198012,6,9,72,112,150,183,223,269,NA,NA,NA
"11",363,"BT",1980,1974,198017,6,9,59,81,110,141,175,217,NA,NA,NA
"12",364,"BT",1980,1974,198040,6,9,69,114,150,193,216,232,NA,NA,NA
"13",365,"BT",1980,1974,198047,6,9,77,119,149,180,205,263,NA,NA,NA
"14",366,"BT",1980,1974,198049,6,9,75,118,159,196,233,275,NA,NA,NA
"15",367,"BT",1980,1974,198058,6,9,54,91,129,160,191,216,NA,NA,NA
"16",368,"BT",1980,1974,1980101,6,9,75,105,134,168,196,233,NA,NA,NA
"17",369,"BT",1980,1974,1980102,6,9,68,97,128,157,193,226,NA,NA,NA
"18",370,"BT",1980,1974,1980119,6,9,61,92,126,162,180,196,NA,NA,NA
"19",371,"BT",1980,1974,1980126,6,9,61,104,141,171,185,209,NA,NA,NA
"20",372,"BT",1980,1974,1980127,6,9,66,112,136,164,187,213,NA,NA,NA
"21",373,"BT",1980,1974,1980130,6,9,76,110,138,170,203,233,NA,NA,NA
"22",374,"BT",1980,1974,1980139,6,9,62,89,119,147,159,178,NA,NA,NA
"23",375,"BT",1980,1975,19808,5,9,66,96,135,175,213,NA,NA,NA,NA
"24",376,"BT",1980,1975,198010,5,9,76,115,142,173,200,NA,NA,NA,NA
"25",377,"BT",1980,1975,198018,5,9,77,122,162,206,251,NA,NA,NA,NA
"26",378,"BT",1980,1975,198019,5,9,66,101,130,153,181,NA,NA,NA,NA
"27",379,"BT",1980,1975,198020,5,9,72,94,125,156,196,NA,NA,NA,NA
"28",380,"BT",1980,1975,198041,5,9,62,102,143,179,225,NA,NA,NA,NA
"29",381,"BT",1980,1975,198042,5,9,67,116,145,177,207,NA,NA,NA,NA
"30",382,"BT",1980,1975,198048,5,9,66,122,161,207,248,NA,NA,NA,NA
"31",383,"BT",1980,1975,198050,5,9,60,88,114,152,189,NA,NA,NA,NA
"32",384,"BT",1980,1975,198051,5,9,64,91,124,155,187,NA,NA,NA,NA
"33",385,"BT",1980,1975,1980104,5,9,61,89,120,158,198,NA,NA,NA,NA
"34",386,"BT",1980,1975,1980105,5,9,80,111,139,165,194,NA,NA,NA,NA
